"batch","time","assay (%)"
1,0,102.4
1,3,98.1
1,6,99.2
1,9,97.5
1,12,95
1,18,96.1
2,0,101.1
2,3,101.2
2,6,99
2,9,97.2
2,12,96.4
2,18,95.5
2,24,94.3
3,0,104.1
3,3,102.1
3,6,99.5
3,9,98.1
3,12,95.7
3,18,94.1
3,24,94
3,36,93.5
