"batch","time","assay (%)"
1,0,99.2
1,3,97.1
1,6,96.1
1,9,95.2
1,12,93.8
1,18,93.1
1,24,92.4
2,0,98.7
2,3,97
2,6,96.2
2,9,95.1
2,12,94.2
2,18,93.3
3,0,102.5
3,3,98.9
3,6,97.1
3,9,95.6
3,12,94.1
3,18,93.1
